Age,Gender,Race,Precinct,Total Voters: 2020
18 to 24,Male,White,Kasson P-2,27
18 to 24,Male,White,Kasson P-3,1
18 to 24,Male,White,Mantorville,13
18 to 24,Male,White,Mantorville Twp.,14
18 to 24,Male,White,Milton Twp.,4
18 to 24,Male,White,Ripley Twp.,1
18 to 24,Male,White,Rochester Twp P-1,6
18 to 24,Male,White,Rochester Twp P-2,1
18 to 24,Male,White,Rochester W1 P1,12
18 to 24,Male,White,Rochester W1 P10,9
18 to 24,Male,White,Rochester W1 P11,9
18 to 24,Male,White,Rochester W1 P12,11
18 to 24,Male,White,Rochester W1 P13,14
18 to 24,Male,White,Rochester W1 P14,4
18 to 24,Male,White,Rochester W1 P2,16
18 to 24,Male,White,Rochester W1 P4,6
18 to 24,Male,White,Rochester W1 P5,2
18 to 24,Male,White,Rochester W1 P6,7
18 to 24,Male,White,Rochester W1 P7,8
18 to 24,Male,White,Rochester W1 P8,10
18 to 24,Male,White,Rochester W1 P9,1
18 to 24,Male,White,Rochester W2 P1,4
18 to 24,Male,White,Rochester W2 P10,14
18 to 24,Male,White,Rochester W2 P11,8
18 to 24,Male,White,Rochester W2 P2,1
18 to 24,Male,White,Rochester W2 P3,10
18 to 24,Male,White,Rochester W2 P4,5
18 to 24,Male,White,Rochester W2 P5,6
18 to 24,Male,White,Rochester W2 P6,1
18 to 24,Male,White,Rochester W2 P9,4
18 to 24,Male,White,Rochester W4 P10,4
18 to 24,Male,White,Rochester W4 P11,5
18 to 24,Male,White,Rochester W4 P12,4
18 to 24,Male,White,Rochester W4 P13,3
18 to 24,Male,White,Rochester W4 P8,4
18 to 24,Male,White,Rochester W4 P9,2
18 to 24,Male,White,Rochester W5 P14,2
18 to 24,Male,White,Rock Dell Twp.,1
18 to 24,Male,White,Salem Twp.,8
18 to 24,Male,White,Stewartville,35
18 to 24,Male,White,Vernon Twp.,4
18 to 24,Male,White,Wasioja Twp.,3
18 to 24,Male,White,West Concord,3
18 to 24,Male,White,Westfield Twp.,3
18 to 24,Male,White,Ashland Twp.,1
18 to 24,Male,White,Byron,49
18 to 24,Male,White,Canisteo Twp.,5
18 to 24,Male,White,Claremont,3
18 to 24,Male,White,Claremont Twp.,4
18 to 24,Male,White,Concord Twp.,2
18 to 24,Male,White,Dodge Center P-1,12
18 to 24,Male,White,Dodge Center P-2,6
18 to 24,Male,White,Ellington Twp.,2
18 to 24,Male,White,Hayfield,11
18 to 24,Male,White,Hayfield Twp.,2
18 to 24,Male,White,High Forest Twp.,6
18 to 24,Male,White,Kalmar Twp.,8
18 to 24,Male,White,Kasson P-1,8
18 to 24,Male,White,Kasson P-2,25
18 to 24,Male,White,Kasson P-3,9
18 to 24,Male,White,Mantorville,10
18 to 24,Male,White,Mantorville Twp.,6
18 to 24,Male,White,Milton Twp.,4
18 to 24,Male,White,Ripley Twp.,1
18 to 24,Male,White,Rochester Twp P-1,15
18 to 24,Male,White,Rochester Twp P-3,1
18 to 24,Male,White,Rochester W1 P1,7
18 to 24,Male,White,Rochester W1 P10,7
18 to 24,Male,White,Rochester W1 P11,7
18 to 24,Male,White,Rochester W1 P12,10
18 to 24,Male,White,Rochester W1 P13,16
18 to 24,Male,White,Rochester W1 P14,4
18 to 24,Male,White,Rochester W1 P2,4
18 to 24,Male,White,Rochester W1 P4,5
18 to 24,Male,White,Rochester W1 P5,3
18 to 24,Male,White,Rochester W1 P6,14
18 to 24,Male,White,Rochester W1 P7,11
18 to 24,Male,White,Rochester W1 P8,13
18 to 24,Male,White,Rochester W1 P9,5
18 to 24,Male,White,Rochester W2 P1,8
18 to 24,Male,White,Rochester W2 P10,13
18 to 24,Male,White,Rochester W2 P11,15
18 to 24,Male,White,Rochester W2 P2,2
18 to 24,Male,White,Rochester W2 P3,6
18 to 24,Male,White,Rochester W2 P4,6
18 to 24,Male,White,Rochester W2 P5,5
18 to 24,Male,White,Rochester W2 P6,3
18 to 24,Male,White,Rochester W2 P9,6
18 to 24,Male,White,Rochester W4 P10,5
18 to 24,Male,White,Rochester W4 P11,5
18 to 24,Male,White,Rochester W4 P12,7
18 to 24,Male,White,Rochester W4 P13,4
18 to 24,Male,White,Rochester W4 P8,5
18 to 24,Male,White,Rochester W5 P14,7
18 to 24,Male,White,Rock Dell Twp.,5
18 to 24,Male,White,Salem Twp.,11
18 to 24,Male,White,Stewartville,42
18 to 24,Male,White,Vernon Twp.,10
18 to 24,Male,White,Wasioja Twp.,12
18 to 24,Male,White,West Concord,8
18 to 24,Male,White,Westfield Twp.,4
18 to 24,Male,White,Byron,9
18 to 24,Male,White,Cascade Twp. P-3,1
18 to 24,Male,White,Claremont Twp.,1
18 to 24,Male,White,Concord Twp.,1
18 to 24,Male,White,Dodge Center P-1,1
18 to 24,Male,White,Kasson P-2,1
18 to 24,Male,White,Mantorville Twp.,2
18 to 24,Male,White,Milton Twp.,1
18 to 24,Male,White,Rochester Twp P-1,3
18 to 24,Male,White,Rochester Twp P-2,1
18 to 24,Male,White,Rochester W1 P1,1
18 to 24,Male,White,Rochester W1 P10,2
18 to 24,Male,White,Rochester W1 P11,1
18 to 24,Male,White,Rochester W1 P12,2
18 to 24,Male,White,Rochester W1 P13,3
18 to 24,Male,White,Rochester W1 P14,1
18 to 24,Male,White,Rochester W1 P2,3
18 to 24,Male,White,Rochester W1 P5,1
18 to 24,Male,White,Rochester W1 P6,10
18 to 24,Male,White,Rochester W1 P7,3
18 to 24,Male,White,Rochester W1 P8,5
18 to 24,Male,White,Rochester W1 P9,1
18 to 24,Male,White,Rochester W2 P1,5
18 to 24,Male,White,Rochester W2 P10,7
18 to 24,Male,White,Rochester W2 P11,9
18 to 24,Male,White,Rochester W2 P2,2
18 to 24,Male,White,Rochester W2 P3,1
18 to 24,Male,White,Rochester W2 P4,2
18 to 24,Male,White,Rochester W2 P5,2
18 to 24,Male,White,Rochester W2 P6,1
18 to 24,Male,White,Rochester W2 P9,2
18 to 24,Male,White,Rochester W4 P11,2
18 to 24,Male,White,Rochester W4 P12,2
18 to 24,Male,White,Rochester W4 P8,1
18 to 24,Male,White,Rochester W5 P14,1
18 to 24,Male,White,Rock Dell Twp.,2
18 to 24,Male,White,Stewartville,9
18 to 24,Male,White,Wasioja Twp.,1
18 to 24,Male,White,Westfield Twp.,1
18 to 24,Female,Asian,Rochester Twp P-1,1
18 to 24,Female,Asian,Rochester W1 P1,1
18 to 24,Female,Asian,Rochester W1 P10,1
18 to 24,Female,Asian,Rochester W1 P13,1
18 to 24,Female,Asian,Rochester W1 P14,3
18 to 24,Female,Asian,Rochester W1 P2,1
18 to 24,Female,Asian,Rochester W1 P7,2
18 to 24,Female,Asian,Rochester W2 P1,2
18 to 24,Female,Asian,Rochester W2 P10,2
18 to 24,Female,Asian,Rochester W2 P11,1
18 to 24,Female,Asian,Rochester W2 P5,1
18 to 24,Female,Asian,Rochester W4 P10,1
18 to 24,Female,Asian,Rochester Twp P-1,1
18 to 24,Female,Asian,Rochester W1 P10,1
18 to 24,Female,Asian,Rochester W1 P12,1
18 to 24,Female,Asian,Rochester W1 P13,4
18 to 24,Female,Asian,Rochester W1 P7,3
18 to 24,Female,Asian,Rochester W2 P10,1
18 to 24,Female,Asian,Rochester W2 P11,1
18 to 24,Female,Asian,Rochester W2 P2,1
18 to 24,Female,Asian,Rochester W2 P3,1
18 to 24,Female,Asian,Rochester W2 P5,1
18 to 24,Female,Asian,Rochester W2 P6,1
18 to 24,Female,Asian,Rochester W4 P12,1
18 to 24,Female,Asian,Rochester Twp P-1,1
18 to 24,Female,Asian,Rochester W1 P1,1
18 to 24,Female,Asian,Rochester W1 P10,2
18 to 24,Female,Asian,Rochester W1 P2,2
18 to 24,Female,Asian,Rochester W2 P10,1
18 to 24,Female,Asian,Rochester W2 P5,1
18 to 24,Female,Black,Rochester W2 P6,1
18 to 24,Female,Black,Rochester W4 P9,1
18 to 24,Female,Black,Byron,2
18 to 24,Female,Black,Rochester Twp P-1,1
18 to 24,Female,Black,Rochester W1 P11,1
18 to 24,Female,Black,Rochester W1 P12,2
18 to 24,Female,Black,Rochester W1 P13,1
18 to 24,Female,Black,Rochester W1 P4,3
18 to 24,Female,Black,Rochester W1 P5,1
18 to 24,Female,Black,Rochester W1 P6,1
18 to 24,Female,Black,Rochester W1 P7,2
18 to 24,Female,Black,Rochester W1 P9,1
18 to 24,Female,Black,Rochester W2 P1,1
18 to 24,Female,Black,Rochester W2 P10,2
18 to 24,Female,Black,Rochester W2 P3,1
18 to 24,Female,Black,Rochester W2 P9,1
18 to 24,Female,Black,Rochester W4 P10,2
18 to 24,Female,Black,Rochester W4 P11,1
18 to 24,Female,Black,Rochester W4 P13,1
18 to 24,Female,Black,Rochester W4 P8,2
18 to 24,Female,Black,Rochester W4 P9,4
18 to 24,Female,Black,Rochester W1 P12,1
18 to 24,Female,Black,Rochester W4 P10,1
18 to 24,Female,Hispanic,Rochester W1 P11,1
18 to 24,Female,Hispanic,Rochester W4 P12,2
18 to 24,Female,Hispanic,Byron,2
18 to 24,Female,Hispanic,Canisteo Twp.,1
18 to 24,Female,Hispanic,Claremont,1
18 to 24,Female,Hispanic,Concord Twp.,1
18 to 24,Female,Hispanic,Dodge Center P-1,6
18 to 24,Female,Hispanic,Dodge Center P-2,2
18 to 24,Female,Hispanic,Ellington Twp.,1
18 to 24,Female,Hispanic,Hayfield,1
18 to 24,Female,Hispanic,Kasson P-2,2
18 to 24,Female,Hispanic,Kasson P-3,1
18 to 24,Female,Hispanic,Mantorville,2
18 to 24,Female,Hispanic,Rochester W1 P1,1
18 to 24,Female,Hispanic,Rochester W1 P10,2
18 to 24,Female,Hispanic,Rochester W1 P12,5
18 to 24,Female,Hispanic,Rochester W1 P13,2
18 to 24,Female,Hispanic,Rochester W1 P4,2
18 to 24,Female,Hispanic,Rochester W2 P1,1
18 to 24,Female,Hispanic,Rochester W2 P4,1
18 to 24,Female,Hispanic,Rochester W2 P5,1
18 to 24,Female,Hispanic,Rochester W4 P11,1
18 to 24,Female,Hispanic,Rochester W4 P12,8
18 to 24,Female,Hispanic,Rochester W4 P8,1
18 to 24,Female,Hispanic,Rochester W4 P9,3
18 to 24,Female,Hispanic,Stewartville,2
18 to 24,Female,Hispanic,West Concord,1
18 to 24,Female,Hispanic,Rochester W1 P12,1
18 to 24,Female,Hispanic,Rochester W4 P12,1
18 to 24,Female,Hispanic,West Concord,1
18 to 24,Female,White,Ashland Twp.,2
18 to 24,Female,White,Byron,49
18 to 24,Female,White,Canisteo Twp.,8
18 to 24,Female,White,Cascade Twp. P-3,2
18 to 24,Female,White,Claremont Twp.,2
18 to 24,Female,White,Concord Twp.,2
18 to 24,Female,White,Dodge Center P-1,9
18 to 24,Female,White,Dodge Center P-2,4
18 to 24,Female,White,Ellington Twp.,2
18 to 24,Female,White,Hayfield,3
18 to 24,Female,White,Hayfield Twp.,5
18 to 24,Female,White,High Forest Twp.,7
18 to 24,Female,White,Kalmar Twp.,4
18 to 24,Female,White,Kasson P-1,2
18 to 24,Female,White,Kasson P-2,24
18 to 24,Female,White,Kasson P-3,8
18 to 24,Female,White,Mantorville,13
18 to 24,Female,White,Mantorville Twp.,17
18 to 24,Female,White,Milton Twp.,11
18 to 24,Female,White,Ripley Twp.,1
18 to 24,Female,White,Rochester Twp P-1,10
18 to 24,Female,White,Rochester Twp P-2,2
18 to 24,Female,White,Rochester W1 P1,6
18 to 24,Female,White,Rochester W1 P10,12
18 to 24,Female,White,Rochester W1 P11,8
18 to 24,Female,White,Rochester W1 P12,7
18 to 24,Female,White,Rochester W1 P13,12
18 to 24,Female,White,Rochester W1 P14,5
18 to 24,Female,White,Rochester W1 P2,6
18 to 24,Female,White,Rochester W1 P4,8
18 to 24,Female,White,Rochester W1 P5,1
18 to 24,Female,White,Rochester W1 P6,7
18 to 24,Female,White,Rochester W1 P7,9
18 to 24,Female,White,Rochester W1 P8,11
18 to 24,Female,White,Rochester W1 P9,2
18 to 24,Female,White,Rochester W2 P1,7
18 to 24,Female,White,Rochester W2 P10,6
18 to 24,Female,White,Rochester W2 P11,5
18 to 24,Female,White,Rochester W2 P2,6
18 to 24,Female,White,Rochester W2 P3,5
18 to 24,Female,White,Rochester W2 P4,4
18 to 24,Female,White,Rochester W2 P5,5
18 to 24,Female,White,Rochester W2 P6,11
18 to 24,Female,White,Rochester W2 P9,4
18 to 24,Female,White,Rochester W4 P10,3
18 to 24,Female,White,Rochester W4 P11,11
18 to 24,Female,White,Rochester W4 P12,2
18 to 24,Female,White,Rochester W4 P13,2
18 to 24,Female,White,Rochester W4 P8,9
18 to 24,Female,White,Rochester W4 P9,2
18 to 24,Female,White,Rochester W5 P14,1
18 to 24,Female,White,Rock Dell Twp.,5
18 to 24,Female,White,Salem Twp.,6
18 to 24,Female,White,Stewartville,30
18 to 24,Female,White,Vernon Twp.,3
18 to 24,Female,White,Wasioja Twp.,9
18 to 24,Female,White,West Concord,3
18 to 24,Female,White,Westfield Twp.,3
18 to 24,Female,White,Ashland Twp.,1
18 to 24,Female,White,Byron,34
18 to 24,Female,White,Canisteo Twp.,4
18 to 24,Female,White,Cascade Twp. P-3,1
18 to 24,Female,White,Claremont Twp.,2
18 to 24,Female,White,Concord Twp.,4
18 to 24,Female,White,Dodge Center P-1,12
18 to 24,Female,White,Dodge Center P-2,1
18 to 24,Female,White,Hayfield,7
18 to 24,Female,White,Hayfield Twp.,7
18 to 24,Female,White,High Forest Twp.,9
18 to 24,Female,White,Kalmar Twp.,7
18 to 24,Female,White,Kasson P-1,4
18 to 24,Female,White,Kasson P-2,24
18 to 24,Female,White,Kasson P-3,5
18 to 24,Female,White,Mantorville,8
18 to 24,Female,White,Mantorville Twp.,17
18 to 24,Female,White,Milton Twp.,6
18 to 24,Female,White,Ripley Twp.,2
18 to 24,Female,White,Rochester Twp P-1,15
18 to 24,Female,White,Rochester Twp P-2,1
18 to 24,Female,White,Rochester W1 P1,10
18 to 24,Female,White,Rochester W1 P10,13
18 to 24,Female,White,Rochester W1 P11,7
18 to 24,Female,White,Rochester W1 P12,15
18 to 24,Female,White,Rochester W1 P13,18
18 to 24,Female,White,Rochester W1 P14,2
18 to 24,Female,White,Rochester W1 P2,5
18 to 24,Female,White,Rochester W1 P4,10
18 to 24,Female,White,Rochester W1 P5,5
18 to 24,Female,White,Rochester W1 P6,17
18 to 24,Female,White,Rochester W1 P7,10
18 to 24,Female,White,Rochester W1 P8,9
18 to 24,Female,White,Rochester W1 P9,6
18 to 24,Female,White,Rochester W2 P1,9
18 to 24,Female,White,Rochester W2 P10,11
18 to 24,Female,White,Rochester W2 P11,11
18 to 24,Female,White,Rochester W2 P2,2
18 to 24,Female,White,Rochester W2 P3,6
18 to 24,Female,White,Rochester W2 P4,5
18 to 24,Female,White,Rochester W2 P5,8
18 to 24,Female,White,Rochester W2 P6,11
18 to 24,Female,White,Rochester W2 P9,3
18 to 24,Female,White,Rochester W4 P10,8
18 to 24,Female,White,Rochester W4 P11,10
18 to 24,Female,White,Rochester W4 P12,3
18 to 24,Female,White,Rochester W4 P13,8
18 to 24,Female,White,Rochester W4 P8,4
18 to 24,Female,White,Rochester W5 P14,2
18 to 24,Female,White,Rock Dell Twp.,3
18 to 24,Female,White,Salem Twp.,7
18 to 24,Female,White,Stewartville,43
18 to 24,Female,White,Vernon Twp.,3
18 to 24,Female,White,Wasioja Twp.,4
18 to 24,Female,White,West Concord,4
18 to 24,Female,White,Westfield Twp.,8
18 to 24,Female,White,Byron,14
18 to 24,Female,White,Dodge Center P-1,2
18 to 24,Female,White,Dodge Center P-2,1
18 to 24,Female,White,Ellington Twp.,1
18 to 24,Female,White,Hayfield,2
18 to 24,Female,White,Kasson P-2,5
18 to 24,Female,White,Mantorville Twp.,2
18 to 24,Female,White,Rochester Twp P-1,4
18 to 24,Female,White,Rochester Twp P-2,1
18 to 24,Female,White,Rochester W1 P1,3
18 to 24,Female,White,Rochester W1 P10,3
18 to 24,Female,White,Rochester W1 P12,4
18 to 24,Female,White,Rochester W1 P13,11
18 to 24,Female,White,Rochester W1 P2,3
18 to 24,Female,White,Rochester W1 P4,1
18 to 24,Female,White,Rochester W1 P7,2
18 to 24,Female,White,Rochester W1 P8,3
18 to 24,Female,White,Rochester W1 P9,3
18 to 24,Female,White,Rochester W2 P1,6
18 to 24,Female,White,Rochester W2 P10,7
18 to 24,Female,White,Rochester W2 P11,3
18 to 24,Female,White,Rochester W2 P2,1
18 to 24,Female,White,Rochester W2 P3,5
18 to 24,Female,White,Rochester W2 P4,3
18 to 24,Female,White,Rochester W2 P5,3
18 to 24,Female,White,Rochester W2 P6,2
18 to 24,Female,White,Rochester W2 P9,2
18 to 24,Female,White,Rochester W4 P10,2
18 to 24,Female,White,Rochester W4 P11,1
18 to 24,Female,White,Rochester W4 P12,4
18 to 24,Female,White,Rochester W4 P8,3
18 to 24,Female,White,Rochester W5 P14,1
18 to 24,Female,White,Rock Dell Twp.,1
18 to 24,Female,White,Salem Twp.,3
18 to 24,Female,White,Stewartville,6
18 to 24,Female,White,Vernon Twp.,1
18 to 24,Female,White,Wasioja Twp.,1
18 to 24,Female,Unknown,Rochester W1 P10,1
18 to 24,Unknown,Asian,Byron,1
18 to 24,Unknown,Asian,Rochester W1 P1,1
18 to 24,Unknown,Asian,Rochester W1 P10,1
18 to 24,Unknown,Asian,Rochester W1 P2,1
18 to 24,Unknown,Asian,Rochester W1 P7,1
18 to 24,Unknown,Asian,Rochester W2 P5,2
18 to 24,Unknown,Asian,Rochester W5 P14,1
18 to 24,Unknown,Asian,Byron,1
18 to 24,Unknown,Asian,Rochester Twp P-1,2
18 to 24,Unknown,Asian,Rochester W1 P1,1
18 to 24,Unknown,Asian,Rochester W1 P10,1
18 to 24,Unknown,Asian,Rochester W1 P11,2
18 to 24,Unknown,Asian,Rochester W1 P12,1
18 to 24,Unknown,Asian,Rochester W1 P13,1
18 to 24,Unknown,Asian,Rochester W1 P7,2
18 to 24,Unknown,Asian,Rochester W1 P8,1
18 to 24,Unknown,Asian,Rochester W1 P9,1
18 to 24,Unknown,Asian,Rochester W2 P1,3
18 to 24,Unknown,Asian,Rochester W2 P11,3
18 to 24,Unknown,Asian,Rochester W2 P3,1
18 to 24,Unknown,Asian,Rochester W2 P4,1
18 to 24,Unknown,Asian,Rochester W2 P5,4
18 to 24,Unknown,Asian,Rochester W4 P10,3
18 to 24,Unknown,Asian,Rochester W4 P11,3
18 to 24,Unknown,Asian,Rochester W4 P12,1
18 to 24,Unknown,Asian,Rochester W4 P8,1
18 to 24,Unknown,Asian,Rochester W4 P9,3
18 to 24,Unknown,Asian,Rochester W1 P13,1
18 to 24,Unknown,Asian,Rochester W2 P6,1
18 to 24,Unknown,Black,Rochester W1 P12,1
18 to 24,Unknown,Black,Rochester W1 P7,1
18 to 24,Unknown,Black,Rochester W2 P1,2
18 to 24,Unknown,Black,Rochester W2 P11,2
18 to 24,Unknown,Black,Rochester W4 P10,2
18 to 24,Unknown,Black,Rochester W4 P9,1
18 to 24,Unknown,Black,Dodge Center P-1,2
18 to 24,Unknown,Black,Rochester W1 P10,1
18 to 24,Unknown,Black,Rochester W1 P12,3
18 to 24,Unknown,Black,Rochester W1 P4,2
18 to 24,Unknown,Black,Rochester W1 P5,2
18 to 24,Unknown,Black,Rochester W1 P7,1
18 to 24,Unknown,Black,Rochester W1 P9,2
18 to 24,Unknown,Black,Rochester W2 P1,5
18 to 24,Unknown,Black,Rochester W2 P11,1
18 to 24,Unknown,Black,Rochester W2 P2,4
18 to 24,Unknown,Black,Rochester W2 P3,1
18 to 24,Unknown,Black,Rochester W2 P4,1
18 to 24,Unknown,Black,Rochester W2 P5,1
18 to 24,Unknown,Black,Rochester W2 P6,2
18 to 24,Unknown,Black,Rochester W4 P10,2
18 to 24,Unknown,Black,Rochester W4 P11,3
18 to 24,Unknown,Black,Rochester W4 P12,2
18 to 24,Unknown,Black,Rochester W4 P8,3
18 to 24,Unknown,Black,Rochester W4 P9,12
18 to 24,Unknown,Black,Rochester W5 P14,1
18 to 24,Unknown,Black,Salem Twp.,1
18 to 24,Unknown,Black,Rochester W2 P1,3
18 to 24,Unknown,Black,Rochester W2 P6,1
18 to 24,Unknown,Black,Rochester W2 P9,1
18 to 24,Unknown,Black,Rochester W4 P10,1
18 to 24,Unknown,Black,Rochester W4 P9,3
18 to 24,Unknown,Hispanic,Claremont,1
18 to 24,Unknown,Hispanic,Dodge Center P-1,1
18 to 24,Unknown,Hispanic,Dodge Center P-2,1
18 to 24,Unknown,Hispanic,Kasson P-2,2
18 to 24,Unknown,Hispanic,Kasson P-3,1
18 to 24,Unknown,Hispanic,Rochester W1 P4,3
18 to 24,Unknown,Hispanic,Rochester W2 P2,1
18 to 24,Unknown,Hispanic,Rochester W4 P12,1
18 to 24,Unknown,Hispanic,Rochester W4 P8,1
18 to 24,Unknown,Hispanic,Rochester W4 P9,2
18 to 24,Unknown,Native,Rochester W1 P7,1
18 to 24,Unknown,White,Ashland Twp.,4
18 to 24,Unknown,White,Byron,22
18 to 24,Unknown,White,Canisteo Twp.,2
18 to 24,Unknown,White,Cascade Twp. P-3,2
18 to 24,Unknown,White,Claremont,1
18 to 24,Unknown,White,Claremont Twp.,3
18 to 24,Unknown,White,Concord Twp.,2
18 to 24,Unknown,White,Dodge Center P-1,8
18 to 24,Unknown,White,Dodge Center P-2,1
18 to 24,Unknown,White,Hayfield,2
18 to 24,Unknown,White,Hayfield Twp.,2
18 to 24,Unknown,White,Kalmar Twp.,4
18 to 24,Unknown,White,Kasson P-1,4
18 to 24,Unknown,White,Kasson P-2,9
18 to 24,Unknown,White,Kasson P-3,7
18 to 24,Unknown,White,Mantorville,2
18 to 24,Unknown,White,Mantorville Twp.,8
18 to 24,Unknown,White,Milton Twp.,2
18 to 24,Unknown,White,Ripley Twp.,1
18 to 24,Unknown,White,Rochester Twp P-1,5
18 to 24,Unknown,White,Rochester W1 P1,2
18 to 24,Unknown,White,Rochester W1 P10,5
18 to 24,Unknown,White,Rochester W1 P11,6
18 to 24,Unknown,White,Rochester W1 P12,5
18 to 24,Unknown,White,Rochester W1 P13,4
18 to 24,Unknown,White,Rochester W1 P14,3
18 to 24,Unknown,White,Rochester W1 P2,1
18 to 24,Unknown,White,Rochester W1 P4,3
18 to 24,Unknown,White,Rochester W1 P6,4
18 to 24,Unknown,White,Rochester W1 P7,3
18 to 24,Unknown,White,Rochester W1 P8,6
18 to 24,Unknown,White,Rochester W1 P9,1
18 to 24,Unknown,White,Rochester W2 P1,4
18 to 24,Unknown,White,Rochester W2 P10,3
18 to 24,Unknown,White,Rochester W2 P11,3
18 to 24,Unknown,White,Rochester W2 P2,2
18 to 24,Unknown,White,Rochester W2 P3,1
18 to 24,Unknown,White,Rochester W2 P4,1
18 to 24,Unknown,White,Rochester W2 P6,4
18 to 24,Unknown,White,Rochester W4 P11,3
18 to 24,Unknown,White,Rochester W4 P12,2
18 to 24,Unknown,White,Rochester W4 P13,1
18 to 24,Unknown,White,Rochester W4 P8,2
18 to 24,Unknown,White,Rochester W4 P9,2
18 to 24,Unknown,White,Rock Dell Twp.,2
18 to 24,Unknown,White,Salem Twp.,1
18 to 24,Unknown,White,Stewartville,13
18 to 24,Unknown,White,Vernon Twp.,2
18 to 24,Unknown,White,Wasioja Twp.,3
18 to 24,Unknown,White,West Concord,2
18 to 24,Unknown,White,Westfield Twp.,1
18 to 24,Unknown,White,Ashland Twp.,3
18 to 24,Unknown,White,Byron,27
18 to 24,Unknown,White,Canisteo Twp.,3
18 to 24,Unknown,White,Cascade Twp. P-3,2
18 to 24,Unknown,White,Claremont,2
18 to 24,Unknown,White,Claremont Twp.,1
18 to 24,Unknown,White,Concord Twp.,4
18 to 24,Unknown,White,Dodge Center P-1,12
18 to 24,Unknown,White,Dodge Center P-2,4
18 to 24,Unknown,White,Ellington Twp.,2
18 to 24,Unknown,White,Hayfield,6
18 to 24,Unknown,White,Hayfield Twp.,2
18 to 24,Unknown,White,High Forest Twp.,6
